system:index,NDVI,NDWI,.geo
0,0.34876698540513335,-0.4761773616083724,"{""type"":""Point"",""coordinates"":[79.22172250457919,17.06936904703689]}"
1,0.6418118466898954,-0.49896612056624784,"{""type"":""Point"",""coordinates"":[79.31039094345329,16.979865251904673]}"
2,0.8264900662251655,-0.7007893438579181,"{""type"":""Point"",""coordinates"":[79.34791124638814,17.030229614259166]}"
3,0.7787543567207152,-0.6797366914710933,"{""type"":""Point"",""coordinates"":[79.29644184947225,17.127904832832826]}"
4,0.4010902483343428,-0.46609202687286094,"{""type"":""Point"",""coordinates"":[79.26241613051191,17.009605231937847]}"
5,0.7996505532906232,-0.7067108533554267,"{""type"":""Point"",""coordinates"":[79.2043626129108,17.015589364708006]}"
6,0.34318030605455757,-0.4099734599804442,"{""type"":""Point"",""coordinates"":[79.29202533018488,17.03880765536607]}"
7,0.6028426950936177,-0.597602506470508,"{""type"":""Point"",""coordinates"":[79.31255829735002,16.998796149843038]}"
8,0.20670967741935484,-0.3854814814814815,"{""type"":""Point"",""coordinates"":[79.24625762246627,17.126494435274562]}"
9,0.25585238226383916,-0.38855054811205847,"{""type"":""Point"",""coordinates"":[79.23715113947607,17.10135116424289]}"
10,0.38098360655737706,-0.46534929028666855,"{""type"":""Point"",""coordinates"":[79.22274624963916,17.071262462276287]}"
11,0.14181818181818182,-0.28999516674722087,"{""type"":""Point"",""coordinates"":[79.25916975126272,17.044586602646476]}"
12,0.6842580063148399,-0.6155177386789732,"{""type"":""Point"",""coordinates"":[79.24009756300356,17.08178267105987]}"
13,0.24806201550387597,-0.455077086656034,"{""type"":""Point"",""coordinates"":[79.26487042828067,17.13710364910967]}"
14,0.477868425620552,-0.5206286836935167,"{""type"":""Point"",""coordinates"":[79.35336293986775,17.031339936232524]}"
15,0.8145991939095387,-0.6970543068546698,"{""type"":""Point"",""coordinates"":[79.19262675396102,17.03831503340618]}"
16,0.5108681157487664,-0.5398206034248437,"{""type"":""Point"",""coordinates"":[79.21486545752464,16.998530678686254]}"
