NDVI,NDWI,.geo
0.3487669854051333,-0.4761773616083724,"{""type"":""Point"",""coordinates"":[79.22172250457919,17.06936904703689]}"
0.6418118466898954,-0.4989661205662478,"{""type"":""Point"",""coordinates"":[79.31039094345329,16.979865251904673]}"
0.8264900662251655,-0.7007893438579181,"{""type"":""Point"",""coordinates"":[79.34791124638814,17.030229614259166]}"
0.7787543567207152,-0.6797366914710933,"{""type"":""Point"",""coordinates"":[79.29644184947225,17.127904832832826]}"
0.4010902483343428,-0.4660920268728609,"{""type"":""Point"",""coordinates"":[79.26241613051191,17.009605231937847]}"
0.7996505532906232,-0.7067108533554267,"{""type"":""Point"",""coordinates"":[79.2043626129108,17.015589364708006]}"
0.3431803060545575,-0.4099734599804442,"{""type"":""Point"",""coordinates"":[79.29202533018488,17.03880765536607]}"
0.6028426950936177,-0.597602506470508,"{""type"":""Point"",""coordinates"":[79.31255829735002,16.998796149843038]}"
0.2067096774193548,-0.3854814814814815,"{""type"":""Point"",""coordinates"":[79.24625762246627,17.126494435274562]}"
0.2558523822638391,-0.3885505481120584,"{""type"":""Point"",""coordinates"":[79.23715113947607,17.10135116424289]}"
0.380983606557377,-0.4653492902866685,"{""type"":""Point"",""coordinates"":[79.22274624963916,17.071262462276287]}"
0.1418181818181818,-0.2899951667472208,"{""type"":""Point"",""coordinates"":[79.25916975126272,17.044586602646476]}"
0.6842580063148399,-0.6155177386789732,"{""type"":""Point"",""coordinates"":[79.24009756300356,17.08178267105987]}"
0.2480620155038759,-0.455077086656034,"{""type"":""Point"",""coordinates"":[79.26487042828067,17.13710364910967]}"
0.477868425620552,-0.5206286836935167,"{""type"":""Point"",""coordinates"":[79.35336293986775,17.031339936232524]}"
0.8145991939095387,-0.6970543068546698,"{""type"":""Point"",""coordinates"":[79.19262675396102,17.03831503340618]}"
0.5108681157487664,-0.5398206034248437,"{""type"":""Point"",""coordinates"":[79.21486545752464,16.998530678686254]}"
0.1756007393715342,-0.0079239302694136,"{""type"":""Point"",""coordinates"":[79.30239835881407,16.985043731342223]}"
0.238095238095238,-0.4304672380425767,"{""type"":""Point"",""coordinates"":[79.18859291328911,17.09405894634541]}"
0.6712574850299401,-0.5916737952666097,"{""type"":""Point"",""coordinates"":[79.358045468616,17.04256221219821]}"
0.7810361681329423,-0.6456420292036731,"{""type"":""Point"",""coordinates"":[79.26585739837834,17.11139856976363]}"
0.2606607480716053,-0.4592318059299191,"{""type"":""Point"",""coordinates"":[79.3095054515174,17.012110408073934]}"
0.181723779854621,-0.2757847533632287,"{""type"":""Point"",""coordinates"":[79.2611529822478,17.052383581806637]}"
0.1938907584778669,-0.2632155573815393,"{""type"":""Point"",""coordinates"":[79.25213404387881,17.03939207524014]}"
0.7608090282866774,-0.6734921298230951,"{""type"":""Point"",""coordinates"":[79.30492360673811,16.988911070835293]}"
0.7439387494683114,-0.6468068014459767,"{""type"":""Point"",""coordinates"":[79.2787868546749,17.0826203675297]}"
0.7583028529626921,-0.6501441713579569,"{""type"":""Point"",""coordinates"":[79.3111041370731,17.044366260023445]}"
0.5189636335258311,-0.5102420856610801,"{""type"":""Point"",""coordinates"":[79.33735035358576,17.02241015377926]}"
0.1523337322619251,-0.3558640112653389,"{""type"":""Point"",""coordinates"":[79.25015132564006,17.03085031279876]}"
0.1983400924266717,-0.0412193722855035,"{""type"":""Point"",""coordinates"":[79.26394530478271,17.034121504737342]}"
0.2656631931043355,-0.4345290172061825,"{""type"":""Point"",""coordinates"":[79.27042296512178,17.103924901445147]}"
0.1465336979250442,-0.3471933471933472,"{""type"":""Point"",""coordinates"":[79.27374321769891,17.037790183572625]}"
-0.4460929772502472,0.6246648793565683,"{""type"":""Point"",""coordinates"":[79.29957681016083,17.104706544841672]}"
0.7918678921950459,-0.6604590731918579,"{""type"":""Point"",""coordinates"":[79.23065760750859,16.977008310268797]}"
0.3923578751164958,-0.4750352609308886,"{""type"":""Point"",""coordinates"":[79.27767114943374,17.084229000323703]}"
0.780765857936276,-0.6738562989421624,"{""type"":""Point"",""coordinates"":[79.33540543916786,17.08191825140265]}"
0.7274103987884907,-0.6305590851334181,"{""type"":""Point"",""coordinates"":[79.23174467726658,16.978567779278066]}"
0.7833627278071722,-0.6727322856355115,"{""type"":""Point"",""coordinates"":[79.3377496366839,17.066307187584922]}"
0.4445298488342301,-0.4632753698416818,"{""type"":""Point"",""coordinates"":[79.22451675152413,17.124858067125853]}"
0.5052820410603946,-0.475,"{""type"":""Point"",""coordinates"":[79.29784117707129,17.09349601246865]}"
0.7754689754689754,-0.6528747984954326,"{""type"":""Point"",""coordinates"":[79.3351960626386,17.050388148743604]}"
0.8057765988800472,-0.6747300806341396,"{""type"":""Point"",""coordinates"":[79.25167006829444,17.00716129131705]}"
0.4657084830495235,-0.5173863820152029,"{""type"":""Point"",""coordinates"":[79.31681153453943,17.033416140655074]}"
0.2520273493401176,-0.3686772118894489,"{""type"":""Point"",""coordinates"":[79.34035681969893,17.110925607966102]}"
0.2378532867577008,-0.4026628283555236,"{""type"":""Point"",""coordinates"":[79.22462463935783,17.017903800605932]}"
0.8188923325697345,-0.6870391201099862,"{""type"":""Point"",""coordinates"":[79.34578997171124,17.01388852836428]}"
-0.217351598173516,0.4132146525162615,"{""type"":""Point"",""coordinates"":[79.24537264552873,17.116570961948614]}"
0.3058313522584254,-0.4363944008614059,"{""type"":""Point"",""coordinates"":[79.24197140487877,17.033482018340052]}"
0.0778443113772455,-0.0098176718092566,"{""type"":""Point"",""coordinates"":[79.27250192291567,17.11752385978973]}"
0.5753510794382729,-0.5059106391504709,"{""type"":""Point"",""coordinates"":[79.28941152610155,16.971569690397754]}"
0.5318543799772468,-0.4876398287529346,"{""type"":""Point"",""coordinates"":[79.33864039221196,17.030382563332626]}"
0.4340881165525715,-0.5018382352941176,"{""type"":""Point"",""coordinates"":[79.2461935491706,16.977327289987127]}"
0.691651865008881,-0.5569723720778159,"{""type"":""Point"",""coordinates"":[79.35016499742311,17.069330692028267]}"
