NDVI,NDWI,VH,VV,Rainfall,Moisture_Stress
0.3487669854051333,-0.4761773616083724,-20.025476088997163,-12.354627390536477,18.531933426300803,Moderate
0.6418118466898954,-0.4989661205662478,-17.326364810863115,-9.763875956299582,18.531933426300803,Moderate
0.8264900662251655,-0.7007893438579181,-18.558638666665253,-11.072210282743296,18.531933426300803,High
0.7787543567207152,-0.6797366914710933,-19.862415178590457,-10.367734438823716,18.531933426300803,High
0.4010902483343428,-0.4660920268728609,-19.17476077435404,-12.459309767771408,18.531933426300803,Moderate
0.7996505532906232,-0.7067108533554267,-19.619190122549377,-11.206408101656438,18.531933426300803,High
0.3431803060545575,-0.4099734599804442,-16.194837914327838,-8.890152797543108,18.531933426300803,Moderate
0.6028426950936177,-0.597602506470508,-16.915399084165713,-10.660014810307768,18.531933426300803,Moderate
0.2067096774193548,-0.3854814814814815,-23.85203698236724,-14.599135689731826,18.531933426300803,Moderate
0.2558523822638391,-0.3885505481120584,-17.018265613200136,-10.233477988971586,18.531933426300803,Moderate
0.380983606557377,-0.4653492902866685,-18.29510393619466,-11.360851867166865,18.531933426300803,Moderate
0.1418181818181818,-0.2899951667472208,-21.37667793009209,-13.241241058875572,18.531933426300803,Low
0.6842580063148399,-0.6155177386789732,-18.660550528084908,-11.33159063337577,18.531933426300803,High
0.2480620155038759,-0.455077086656034,-23.29995662284685,-14.175648303064428,18.531933426300803,Moderate
0.477868425620552,-0.5206286836935167,-18.03311311847225,-11.880133195031426,18.531933426300803,Moderate
0.8145991939095387,-0.6970543068546698,-18.685844924496784,-12.123511607427297,18.531933426300803,High
0.5108681157487664,-0.5398206034248437,-17.42529899537646,-10.425016406549688,18.531933426300803,Moderate
0.1756007393715342,-0.0079239302694136,-27.30873139560688,-20.555706037783885,18.531933426300803,Low
0.238095238095238,-0.4304672380425767,-21.30876570882794,-14.131194229253854,18.531933426300803,Moderate
0.6712574850299401,-0.5916737952666097,-20.83721162573084,-13.443792134397466,18.531933426300803,Moderate
0.7810361681329423,-0.6456420292036731,-19.13489091994598,-10.680400065138842,18.531933426300803,High
0.2606607480716053,-0.4592318059299191,-21.04695915331902,-10.826054318439027,18.531933426300803,Moderate
0.181723779854621,-0.2757847533632287,-14.956530057130342,-5.416754256280948,18.531933426300803,Low
0.1938907584778669,-0.2632155573815393,-16.424253427063846,-8.886919693328911,18.531933426300803,Low
0.7608090282866774,-0.6734921298230951,-17.31665872660019,-9.360832041249648,18.531933426300803,High
0.7439387494683114,-0.6468068014459767,-18.253722880780096,-9.433865768728962,18.531933426300803,High
0.7583028529626921,-0.6501441713579569,-18.61373585516631,-9.853414499773017,18.531933426300803,High
0.5189636335258311,-0.5102420856610801,-19.24688125660888,-11.491579717135878,18.531933426300803,Moderate
0.1523337322619251,-0.3558640112653389,-21.50572988655473,-14.99551209660115,18.531933426300803,Moderate
0.1983400924266717,-0.0412193722855035,-19.364954104230417,-9.553368800717266,18.531933426300803,Low
0.2656631931043355,-0.4345290172061825,-22.166020534656585,-13.653085985317515,18.531933426300803,Moderate
0.1465336979250442,-0.3471933471933472,-22.879592940409896,-14.111610062471245,18.531933426300803,Moderate
-0.4460929772502472,0.6246648793565683,-34.754725318854426,-25.59823525478913,18.531933426300803,Low
0.7918678921950459,-0.6604590731918579,-19.685013809679354,-10.798015801541167,18.531933426300803,High
0.3923578751164958,-0.4750352609308886,-19.434409219112364,-12.918161085701673,18.531933426300803,Moderate
0.780765857936276,-0.6738562989421624,-17.55571512563107,-9.667860381529644,18.531933426300803,High
0.7274103987884907,-0.6305590851334181,-20.3443754027394,-10.618117592277269,18.531933426300803,High
0.7833627278071722,-0.6727322856355115,-18.311539050708607,-10.790440720813235,18.531933426300803,High
0.4445298488342301,-0.4632753698416818,-16.971678480390494,-7.903881622765919,18.531933426300803,Moderate
0.5052820410603946,-0.475,-13.854937149631992,-9.035583094887418,18.531933426300803,Moderate
0.7754689754689754,-0.6528747984954326,-18.44679436781752,-11.791660883846982,18.531933426300803,High
0.8057765988800472,-0.6747300806341396,-18.617642010347502,-11.79559808123572,18.531933426300803,High
0.4657084830495235,-0.5173863820152029,-15.724813836686284,-9.702195225445562,18.531933426300803,Moderate
0.2520273493401176,-0.3686772118894489,-20.73071996223836,-12.920321759776163,18.531933426300803,Moderate
0.2378532867577008,-0.4026628283555236,-18.021058472213703,-12.474669550914111,18.531933426300803,Moderate
0.8188923325697345,-0.6870391201099862,-16.924858515953268,-11.378423354194386,18.531933426300803,High
-0.217351598173516,0.4132146525162615,-35.84457705445993,-27.58171652234939,18.531933426300803,Low
0.3058313522584254,-0.4363944008614059,-20.17197827237037,-14.279356639873528,18.531933426300803,Moderate
0.0778443113772455,-0.0098176718092566,-30.405313193746395,-22.28731946100808,18.531933426300803,Low
0.5753510794382729,-0.5059106391504709,-19.44649516610292,-12.241595833634053,18.531933426300803,Moderate
0.5318543799772468,-0.4876398287529346,-20.180729334772497,-12.542992389220306,18.531933426300803,Moderate
0.4340881165525715,-0.5018382352941176,-15.962681573944106,-10.619690725286777,18.531933426300803,Moderate
0.691651865008881,-0.5569723720778159,-21.08588278448808,-13.169502422392425,18.531933426300803,Moderate
0.8432901521821154,-0.7285057200141526,-18.04918107769568,-10.969271320598777,18.531933426300803,High
0.1759336099585062,-0.2861356932153392,-18.977402406534548,-8.862303832603224,18.531933426300803,Low
0.2337923564907937,-0.265111851499286,-17.312596229337476,-3.879248957259224,18.531933426300803,Low
